P1	P2	P3	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0002	0.0327	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0005	-0.0813	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0021	-0.3146	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0039	-0.5795	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0029	0.4685	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0029	0.4578	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0017	-0.2529	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0019	-0.2714	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0119	-1.6629	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0119	-1.6687	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0022	0.3409	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0022	0.3303	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0007	-0.1024	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0013	-0.1864	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0012	-0.1825	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0013	-0.1917	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0015	-0.2243	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	-0.0012	-0.1741	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.001	0.1474	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0012	0.1844	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0	0.0053	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0005	0.0696	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0003	0.0422	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0007	0.108	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0001	0.0217	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera crassa	Ascomycetes	Sordariomycetes	D	0.0013	0.1908	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S7 multiple strains)	specific configurations	no	Z			
